timestamp,Close,Open,High,Low,Volume
2025-02-02 10:00:00,99645.40771022183,99645.40771022183,99645.40771022183,99645.40771022183,1000000000.0
2025-02-02 11:00:00,99342.03532242186,99645.40771022183,99342.03532242186,99342.03532242186,1000000000.0
2025-02-02 12:00:00,98933.28243566968,99342.03532242186,98933.28243566968,98933.28243566968,1000000000.0
2025-02-02 13:00:00,98201.26569873706,98933.28243566968,98201.26569873706,98201.26569873706,1000000000.0
2025-02-02 14:00:00,98791.6437249441,98201.26569873706,98791.6437249441,98791.6437249441,1000000000.0
2025-02-02 15:00:00,99259.48949920906,98791.6437249441,99259.48949920906,99259.48949920906,1000000000.0
2025-02-02 16:00:00,99306.8359207168,99259.48949920906,99306.8359207168,99306.8359207168,1000000000.0
2025-02-02 17:00:00,98196.81871091944,99306.8359207168,98196.81871091944,98196.81871091944,1000000000.0
2025-02-02 18:00:00,97157.76217158206,98196.81871091944,97157.76217158206,97157.76217158206,1000000000.0
2025-02-02 19:00:00,96896.82676418213,97157.76217158206,96896.82676418213,96896.82676418213,1000000000.0
2025-02-02 20:00:00,98235.87175043522,96896.82676418213,98235.87175043522,98235.87175043522,1000000000.0
2025-02-02 21:00:00,97793.53821562871,98235.87175043522,97793.53821562871,97793.53821562871,1000000000.0
2025-02-02 22:00:00,96988.74415938454,97793.53821562871,96988.74415938454,96988.74415938454,1000000000.0
2025-02-02 23:00:00,97815.84535257479,96988.74415938454,97815.84535257479,97815.84535257479,1000000000.0
2025-02-03 00:00:00,97652.02866142086,97815.84535257479,97652.02866142086,97652.02866142086,1000000000.0
2025-02-03 01:00:00,96653.10505164102,97652.02866142086,96653.10505164102,96653.10505164102,1000000000.0
2025-02-03 02:00:00,93517.87531879066,96653.10505164102,93517.87531879066,93517.87531879066,1000000000.0
2025-02-03 03:00:00,93529.88153166145,93517.87531879066,93529.88153166145,93529.88153166145,1000000000.0
2025-02-03 04:00:00,94068.23649713039,93529.88153166145,94068.23649713039,94068.23649713039,1000000000.0
2025-02-03 05:00:00,92876.12162304203,94068.23649713039,92876.12162304203,92876.12162304203,1000000000.0
2025-02-03 06:00:00,93885.07988775491,92876.12162304203,93885.07988775491,93885.07988775491,1000000000.0
2025-02-03 07:00:00,93984.49582240354,93885.07988775491,93984.49582240354,93984.49582240354,1000000000.0
2025-02-03 08:00:00,95437.74841070815,93984.49582240354,95437.74841070815,95437.74841070815,1000000000.0
2025-02-03 09:00:00,95431.53785259378,95437.74841070815,95431.53785259378,95431.53785259378,1000000000.0
2025-02-03 10:00:00,95373.35106292863,95431.53785259378,95373.35106292863,95373.35106292863,1000000000.0
2025-02-03 11:00:00,95770.80181571534,95373.35106292863,95770.80181571534,95770.80181571534,1000000000.0
2025-02-03 12:00:00,95184.99000103062,95770.80181571534,95184.99000103062,95184.99000103062,1000000000.0
2025-02-03 13:00:00,94848.74372319518,95184.99000103062,94848.74372319518,94848.74372319518,1000000000.0
2025-02-03 14:00:00,94721.98536030206,94848.74372319518,94721.98536030206,94721.98536030206,1000000000.0
2025-02-03 15:00:00,96874.2426135226,94721.98536030206,96874.2426135226,96874.2426135226,1000000000.0
2025-02-03 16:00:00,99175.4839366473,96874.2426135226,99175.4839366473,99175.4839366473,1000000000.0
2025-02-03 17:00:00,98664.16766125984,99175.4839366473,98664.16766125984,98664.16766125984,1000000000.0
2025-02-03 18:00:00,99427.091812037,98664.16766125984,99427.091812037,99427.091812037,1000000000.0
2025-02-03 19:00:00,100109.60169399311,99427.091812037,100109.60169399311,100109.60169399311,1000000000.0
2025-02-03 20:00:00,102038.29415299969,100109.60169399311,102038.29415299969,102038.29415299969,1000000000.0
2025-02-03 21:00:00,101776.9704902056,102038.29415299969,101776.9704902056,101776.9704902056,1000000000.0
2025-02-03 22:00:00,102011.13759922635,101776.9704902056,102011.13759922635,102011.13759922635,1000000000.0
2025-02-03 23:00:00,101786.57409375272,102011.13759922635,101786.57409375272,101786.57409375272,1000000000.0
2025-02-04 00:00:00,101392.3150300614,101786.57409375272,101392.3150300614,101392.3150300614,1000000000.0
2025-02-04 01:00:00,101177.50269250017,101392.3150300614,101177.50269250017,101177.50269250017,1000000000.0
2025-02-04 02:00:00,101468.37868950945,101177.50269250017,101468.37868950945,101468.37868950945,1000000000.0
2025-02-04 03:00:00,100843.17354271388,101468.37868950945,100843.17354271388,100843.17354271388,1000000000.0
2025-02-04 04:00:00,100696.1326357584,100843.17354271388,100696.1326357584,100696.1326357584,1000000000.0
2025-02-04 05:00:00,100163.72562649935,100696.1326357584,100163.72562649935,100163.72562649935,1000000000.0
2025-02-04 06:00:00,99248.39363079518,100163.72562649935,99248.39363079518,99248.39363079518,1000000000.0
2025-02-04 07:00:00,99414.93416195072,99248.39363079518,99414.93416195072,99414.93416195072,1000000000.0
2025-02-04 08:00:00,98461.65323336356,99414.93416195072,98461.65323336356,98461.65323336356,1000000000.0
2025-02-04 09:00:00,98361.85276813261,98461.65323336356,98361.85276813261,98361.85276813261,1000000000.0
2025-02-04 10:00:00,98707.16429232086,98361.85276813261,98707.16429232086,98707.16429232086,1000000000.0
2025-02-04 11:00:00,98900.15664785431,98707.16429232086,98900.15664785431,98900.15664785431,1000000000.0
2025-02-04 12:00:00,99125.47947716463,98900.15664785431,99125.47947716463,99125.47947716463,1000000000.0
2025-02-04 13:00:00,99369.05940581522,99125.47947716463,99369.05940581522,99369.05940581522,1000000000.0
2025-02-04 14:00:00,99132.60917545018,99369.05940581522,99132.60917545018,99132.60917545018,1000000000.0
2025-02-04 15:00:00,100160.09279025279,99132.60917545018,100160.09279025279,100160.09279025279,1000000000.0
2025-02-04 16:00:00,99503.28222371545,100160.09279025279,99503.28222371545,99503.28222371545,1000000000.0
2025-02-04 17:00:00,99207.7117070122,99503.28222371545,99207.7117070122,99207.7117070122,1000000000.0
2025-02-04 18:00:00,99243.8917964687,99207.7117070122,99243.8917964687,99243.8917964687,1000000000.0
2025-02-04 19:00:00,99359.35824162222,99243.8917964687,99359.35824162222,99359.35824162222,1000000000.0
2025-02-04 20:00:00,98860.42539595038,99359.35824162222,98860.42539595038,98860.42539595038,1000000000.0
2025-02-04 21:00:00,97972.8075370943,98860.42539595038,97972.8075370943,97972.8075370943,1000000000.0
2025-02-04 22:00:00,96386.5143187413,97972.8075370943,96386.5143187413,96386.5143187413,1000000000.0
2025-02-04 23:00:00,97690.61739242118,96386.5143187413,97690.61739242118,97690.61739242118,1000000000.0
2025-02-05 00:00:00,97888.30731950274,97690.61739242118,97888.30731950274,97888.30731950274,1000000000.0
2025-02-05 01:00:00,98360.40524167611,97888.30731950274,98360.40524167611,98360.40524167611,1000000000.0
2025-02-05 02:00:00,97742.4722066188,98360.40524167611,97742.4722066188,97742.4722066188,1000000000.0
2025-02-05 03:00:00,98029.77668903438,97742.4722066188,98029.77668903438,98029.77668903438,1000000000.0
2025-02-05 04:00:00,98006.5293424413,98029.77668903438,98006.5293424413,98006.5293424413,1000000000.0
2025-02-05 05:00:00,98094.7373713875,98006.5293424413,98094.7373713875,98094.7373713875,1000000000.0
2025-02-05 06:00:00,98200.71650096471,98094.7373713875,98200.71650096471,98200.71650096471,1000000000.0
2025-02-05 07:00:00,97513.92279729006,98200.71650096471,97513.92279729006,97513.92279729006,1000000000.0
2025-02-05 08:00:00,97904.93450676241,97513.92279729006,97904.93450676241,97904.93450676241,1000000000.0
2025-02-05 09:00:00,97656.24528073946,97904.93450676241,97656.24528073946,97656.24528073946,1000000000.0
2025-02-05 10:00:00,97450.19613346204,97656.24528073946,97450.19613346204,97450.19613346204,1000000000.0
2025-02-05 11:00:00,97759.8831753512,97450.19613346204,97759.8831753512,97759.8831753512,1000000000.0
2025-02-05 12:00:00,98193.32303841642,97759.8831753512,98193.32303841642,98193.32303841642,1000000000.0
2025-02-05 13:00:00,98045.78183003876,98193.32303841642,98045.78183003876,98045.78183003876,1000000000.0
2025-02-05 14:00:00,98611.46674060835,98045.78183003876,98611.46674060835,98611.46674060835,1000000000.0
2025-02-05 15:00:00,98351.26868548083,98611.46674060835,98351.26868548083,98351.26868548083,1000000000.0
2025-02-05 16:00:00,98192.99346867306,98351.26868548083,98192.99346867306,98192.99346867306,1000000000.0
2025-02-05 17:00:00,98044.92329209218,98192.99346867306,98044.92329209218,98044.92329209218,1000000000.0
2025-02-05 18:00:00,97736.3008613856,98044.92329209218,97736.3008613856,97736.3008613856,1000000000.0
2025-02-05 19:00:00,96709.7362968561,97736.3008613856,96709.7362968561,96709.7362968561,1000000000.0
2025-02-05 20:00:00,97377.74729659544,96709.7362968561,97377.74729659544,97377.74729659544,1000000000.0
2025-02-05 21:00:00,97326.90138999239,97377.74729659544,97326.90138999239,97326.90138999239,1000000000.0
2025-02-05 22:00:00,96870.39922901063,97326.90138999239,96870.39922901063,96870.39922901063,1000000000.0
2025-02-05 23:00:00,96439.88149814382,96870.39922901063,96439.88149814382,96439.88149814382,1000000000.0
2025-02-06 00:00:00,96613.00809483857,96439.88149814382,96613.00809483857,96613.00809483857,1000000000.0
2025-02-06 01:00:00,96839.96420150516,96613.00809483857,96839.96420150516,96839.96420150516,1000000000.0
2025-02-06 02:00:00,97130.53973144067,96839.96420150516,97130.53973144067,97130.53973144067,1000000000.0
2025-02-06 03:00:00,97355.35589817187,97130.53973144067,97355.35589817187,97355.35589817187,1000000000.0
2025-02-06 04:00:00,97355.40414806851,97355.35589817187,97355.40414806851,97355.40414806851,1000000000.0
2025-02-06 05:00:00,97643.75264902429,97355.40414806851,97643.75264902429,97643.75264902429,1000000000.0
2025-02-06 06:00:00,97775.60672474427,97643.75264902429,97775.60672474427,97775.60672474427,1000000000.0
2025-02-06 07:00:00,98402.46047835614,97775.60672474427,98402.46047835614,98402.46047835614,1000000000.0
2025-02-06 08:00:00,98232.29586759426,98402.46047835614,98232.29586759426,98232.29586759426,1000000000.0
2025-02-06 09:00:00,98211.45992465959,98232.29586759426,98211.45992465959,98211.45992465959,1000000000.0
2025-02-06 10:00:00,98692.44773552474,98211.45992465959,98692.44773552474,98692.44773552474,1000000000.0
2025-02-06 11:00:00,98975.0605619712,98692.44773552474,98975.0605619712,98975.0605619712,1000000000.0
2025-02-06 12:00:00,98901.87439582883,98975.0605619712,98901.87439582883,98901.87439582883,1000000000.0
