Datetime,Open,High,Low,Close,Volume
2025-05-20 13:30:00+00:00,264.80999755859375,265.3598937988281,260.0,262.3699951171875,2721579
2025-05-20 14:30:00+00:00,262.19500732421875,263.4200134277344,261.8999938964844,262.8900146484375,680479
2025-05-20 15:30:00+00:00,262.94000244140625,264.2300109863281,262.1000061035156,262.7749938964844,678640
2025-05-20 16:30:00+00:00,262.7699890136719,265.0880126953125,262.68011474609375,264.0299987792969,704887
2025-05-20 17:30:00+00:00,263.9400939941406,265.19000244140625,262.1499938964844,262.2049865722656,678843
2025-05-20 18:30:00+00:00,262.0,262.7900085449219,257.2485046386719,259.7323913574219,1626792
2025-05-20 19:30:00+00:00,259.8500061035156,262.3599853515625,259.6300964355469,261.3399963378906,961855
2025-05-21 13:30:00+00:00,260.1099853515625,263.9840087890625,259.4200134277344,259.4461975097656,1784642
2025-05-21 14:30:00+00:00,259.4599914550781,268.7799987792969,258.44000244140625,266.84161376953125,2416312
2025-05-21 15:30:00+00:00,266.88751220703125,268.2699890136719,264.80999755859375,267.3599853515625,1284251
2025-05-21 16:30:00+00:00,267.39471435546875,270.37908935546875,258.70001220703125,258.7969055175781,2011199
2025-05-21 17:30:00+00:00,258.7300109863281,262.8399963378906,257.75,260.0,1288648
2025-05-21 18:30:00+00:00,259.95001220703125,263.0,258.4400939941406,258.8949890136719,1068324
2025-05-21 19:30:00+00:00,258.8200988769531,261.20001220703125,258.82000732421875,258.8800048828125,988450
2025-05-22 13:30:00+00:00,265.1300048828125,271.1400146484375,263.8800048828125,266.9849853515625,4365508
2025-05-22 14:30:00+00:00,266.9849853515625,269.0,263.510009765625,266.7099914550781,1585562
2025-05-22 15:30:00+00:00,266.6499938964844,269.32000732421875,266.6499938964844,267.2062072753906,975125
2025-05-22 16:30:00+00:00,267.3599853515625,269.510009765625,266.7200012207031,268.77130126953125,1062926
2025-05-22 17:30:00+00:00,268.760009765625,272.3699951171875,268.260009765625,272.2499084472656,1503748
2025-05-22 18:30:00+00:00,272.010009765625,277.010009765625,271.96661376953125,275.6300048828125,2827314
2025-05-22 19:30:00+00:00,275.6199951171875,276.7867126464844,271.70001220703125,271.95001220703125,1997107
2025-05-23 13:30:00+00:00,262.93499755859375,268.0400085449219,262.80999755859375,263.8500061035156,3290704
2025-05-23 14:30:00+00:00,263.69500732421875,265.3900146484375,262.17999267578125,262.760009765625,1098560
2025-05-23 15:30:00+00:00,262.6000061035156,264.0899963378906,260.3417053222656,262.3949890136719,1320458
2025-05-23 16:30:00+00:00,262.510009765625,265.3500061035156,261.95001220703125,264.94000244140625,840646
2025-05-23 17:30:00+00:00,264.94000244140625,265.99920654296875,263.5,264.3949890136719,572214
2025-05-23 18:30:00+00:00,264.29998779296875,265.2699890136719,263.8299865722656,264.75,602805
2025-05-23 19:30:00+00:00,264.70001220703125,265.5849914550781,263.010009765625,263.1499938964844,911288
2025-05-27 13:30:00+00:00,268.8800048828125,270.0799865722656,265.3734130859375,267.1000061035156,2347441
2025-05-27 14:30:00+00:00,267.1600036621094,268.6600036621094,265.0799865722656,267.1400146484375,1105906
2025-05-27 15:30:00+00:00,267.0799865722656,267.9100036621094,266.3999938964844,267.2799987792969,586328
2025-05-27 16:30:00+00:00,267.3500061035156,268.8800048828125,266.6600036621094,267.2900085449219,629828
2025-05-27 17:30:00+00:00,267.1499938964844,269.1499938964844,266.4700012207031,267.3399963378906,579501
2025-05-27 18:30:00+00:00,267.29998779296875,268.1600036621094,264.739990234375,267.2950134277344,882876
2025-05-27 19:30:00+00:00,267.2300109863281,267.75,266.2200012207031,266.3500061035156,752994
2025-05-28 13:30:00+00:00,265.5050048828125,265.70001220703125,255.5,256.49700927734375,2945304
2025-05-28 14:30:00+00:00,256.29998779296875,256.6499938964844,253.8000030517578,255.32000732421875,1147067
2025-05-28 15:30:00+00:00,255.18499755859375,257.0,254.77000427246094,256.4750061035156,695894
2025-05-28 16:30:00+00:00,256.55999755859375,258.58990478515625,255.74000549316406,258.0,535450
2025-05-28 17:30:00+00:00,258.0708923339844,258.7499084472656,257.3349914550781,257.54998779296875,453700
2025-05-28 18:30:00+00:00,257.5799865722656,258.4530029296875,256.0986022949219,258.3450012207031,474319
2025-05-28 19:30:00+00:00,258.32000732421875,258.4179992675781,254.2509002685547,254.3350067138672,1094714
2025-05-29 13:30:00+00:00,258.69000244140625,258.94000244140625,250.41990661621094,251.05999755859375,2107136
2025-05-29 14:30:00+00:00,251.05999755859375,253.49000549316406,249.67999267578125,252.92999267578125,1032802
2025-05-29 15:30:00+00:00,252.89999389648438,253.0399932861328,249.10000610351562,250.5395050048828,776310
2025-05-29 16:30:00+00:00,250.5500030517578,251.52999877929688,250.22000122070312,250.625,855406
2025-05-29 17:30:00+00:00,250.55999755859375,250.99789428710938,246.75999450683594,247.3300018310547,574198
2025-05-29 18:30:00+00:00,247.27000427246094,248.7261962890625,246.92469787597656,247.1199951171875,662234
2025-05-29 19:30:00+00:00,247.14999389648438,249.78199768066406,247.03500366210938,248.89999389648438,919308
2025-05-30 13:30:00+00:00,246.64999389648438,248.03280639648438,244.35699462890625,246.02999877929688,1240549
2025-05-30 14:30:00+00:00,245.97000122070312,248.97000122070312,245.88999938964844,248.86000061035156,707138
2025-05-30 15:30:00+00:00,248.6999969482422,249.9600067138672,245.16000366210938,245.4550018310547,628136
2025-05-30 16:30:00+00:00,245.47999572753906,247.18800354003906,244.1300048828125,246.1199951171875,707797
2025-05-30 17:30:00+00:00,246.19000244140625,246.8000030517578,244.90550231933594,246.59559631347656,406466
2025-05-30 18:30:00+00:00,246.6999969482422,247.11000061035156,245.83999633789062,247.0670928955078,344223
2025-05-30 19:30:00+00:00,246.97999572753906,247.6999969482422,245.80999755859375,246.52000427246094,999053
2025-06-02 13:30:00+00:00,247.44000244140625,249.86000061035156,242.8800048828125,243.9221954345703,1806916
2025-06-02 14:30:00+00:00,244.1300048828125,246.17999267578125,243.6699981689453,245.4425048828125,758607
2025-06-02 15:30:00+00:00,245.5500030517578,247.1898956298828,245.0,246.25999450683594,559267
2025-06-02 16:30:00+00:00,246.22999572753906,247.0998992919922,245.9550018310547,246.3282012939453,366683
2025-06-02 17:30:00+00:00,246.2550048828125,246.41000366210938,245.1999969482422,245.6300048828125,531358
2025-06-02 18:30:00+00:00,245.57000732421875,245.60000610351562,244.0,245.10000610351562,505400
2025-06-02 19:30:00+00:00,245.02499389648438,246.77000427246094,244.46499633789062,246.75999450683594,620592
2025-06-03 13:30:00+00:00,248.38999938964844,257.04998779296875,246.21820068359375,256.7950134277344,2237845
2025-06-03 14:30:00+00:00,256.7950134277344,260.25,256.2500915527344,257.7300109863281,2377987
2025-06-03 15:30:00+00:00,257.79998779296875,259.239990234375,250.10000610351562,258.2349853515625,690498
2025-06-03 16:30:00+00:00,258.2200012207031,260.1000061035156,257.45001220703125,258.1700134277344,888625
2025-06-03 17:30:00+00:00,258.2225036621094,259.2799987792969,255.6300048828125,257.2699890136719,647150
2025-06-03 18:30:00+00:00,257.2300109863281,260.2900085449219,257.0400085449219,260.1260070800781,667258
2025-06-03 19:30:00+00:00,260.0899963378906,260.6000061035156,258.3900146484375,258.80999755859375,1188211
2025-06-04 13:30:00+00:00,257.5249938964844,261.55499267578125,254.4550018310547,256.7650146484375,2283177
2025-06-04 14:30:00+00:00,256.8299865722656,258.1400146484375,255.6699981689453,257.1199951171875,728112
2025-06-04 15:30:00+00:00,257.1199951171875,257.2749938964844,255.0,255.0050048828125,667537
2025-06-04 16:30:00+00:00,255.00999450683594,256.6600036621094,254.80999755859375,255.90499877929688,551161
2025-06-04 17:30:00+00:00,255.85800170898438,256.5400085449219,255.0800018310547,255.66000366210938,323406
2025-06-04 18:30:00+00:00,255.71820068359375,255.73890686035156,254.5565948486328,254.81500244140625,396628
2025-06-04 19:30:00+00:00,254.7100067138672,256.42498779296875,254.33999633789062,255.77999877929688,616829
2025-06-05 13:30:00+00:00,261.04998779296875,265.6499938964844,253.1300048828125,257.8664855957031,3119892
2025-06-05 14:30:00+00:00,258.0249938964844,260.5,255.0399932861328,260.3699951171875,1268664
2025-06-05 15:30:00+00:00,260.4049987792969,260.96990966796875,257.8599853515625,259.5635070800781,896311
2025-06-05 16:30:00+00:00,259.43499755859375,259.7777099609375,248.92999267578125,252.49000549316406,1759439
2025-06-05 17:30:00+00:00,252.5050048828125,253.6300048828125,246.67999267578125,248.08999633789062,895080
2025-06-05 18:30:00+00:00,248.02450561523438,248.49989318847656,240.0800018310547,242.88499450683594,1612451
2025-06-05 19:30:00+00:00,242.88499450683594,245.1699981689453,242.7100067138672,244.14999389648438,1383489
2025-06-06 13:30:00+00:00,250.5050048828125,256.1700134277344,249.77999877929688,251.55499267578125,2143187
2025-06-06 14:30:00+00:00,251.76499938964844,254.25,251.02999877929688,251.86000061035156,856047
2025-06-06 15:30:00+00:00,251.93499755859375,254.16000366210938,250.3249969482422,253.27999877929688,683374
2025-06-06 16:30:00+00:00,253.4199981689453,254.1999969482422,251.6699981689453,253.3300018310547,665773
2025-06-06 17:30:00+00:00,253.3800048828125,255.41990661621094,253.27999877929688,253.82000732421875,715245
2025-06-06 18:30:00+00:00,253.89999389648438,254.84080505371094,253.05999755859375,253.32000732421875,674048
