Datetime,Open,High,Low,Close,Volume
2025-05-20 13:30:00+00:00,271.55999755859375,272.489990234375,270.2099914550781,272.3500061035156,110582
2025-05-20 14:30:00+00:00,272.3900146484375,274.1099853515625,272.3450012207031,273.9599914550781,77135
2025-05-20 15:30:00+00:00,274.0299987792969,274.07000732421875,273.4775085449219,273.8500061035156,93808
2025-05-20 16:30:00+00:00,273.760009765625,274.6499938964844,273.7300109863281,274.010009765625,177359
2025-05-20 17:30:00+00:00,274.1000061035156,274.6400146484375,272.79998779296875,272.94000244140625,145639
2025-05-20 18:30:00+00:00,272.94000244140625,273.70001220703125,272.9150085449219,273.6099853515625,124770
2025-05-20 19:30:00+00:00,273.6400146484375,274.05999755859375,273.4700012207031,273.8699951171875,332010
2025-05-21 13:30:00+00:00,270.6300048828125,272.5278015136719,269.7799987792969,270.989990234375,212508
2025-05-21 14:30:00+00:00,271.2200012207031,273.2099914550781,270.5199890136719,272.80999755859375,219494
2025-05-21 15:30:00+00:00,272.8699951171875,273.9700012207031,272.8500061035156,273.875,114970
2025-05-21 16:30:00+00:00,274.0,274.1099853515625,269.5,269.5,185189
2025-05-21 17:30:00+00:00,269.3999938964844,271.3699951171875,269.17999267578125,270.4700012207031,128356
2025-05-21 18:30:00+00:00,270.4800109863281,270.9800109863281,268.2200012207031,268.6000061035156,165296
2025-05-21 19:30:00+00:00,268.6499938964844,269.8999938964844,268.5400085449219,268.5400085449219,295404
2025-05-22 13:30:00+00:00,268.45001220703125,271.6000061035156,267.57000732421875,270.2300109863281,619247
2025-05-22 14:30:00+00:00,270.2200012207031,271.0150146484375,269.7699890136719,270.2799987792969,375097
2025-05-22 15:30:00+00:00,270.1499938964844,271.54998779296875,269.9700012207031,271.19500732421875,358807
2025-05-22 16:30:00+00:00,271.1499938964844,271.8599853515625,270.6199951171875,271.7200012207031,303028
2025-05-22 17:30:00+00:00,271.69000244140625,272.54998779296875,271.5150146484375,272.45001220703125,353137
2025-05-22 18:30:00+00:00,272.4599914550781,273.79998779296875,272.29998779296875,273.42498779296875,468611
2025-05-22 19:30:00+00:00,273.44000244140625,273.489990234375,271.07000732421875,272.3800048828125,820116
2025-05-23 13:30:00+00:00,241.59500122070312,247.0800018310547,237.0,242.5,3876786
2025-05-23 14:30:00+00:00,242.01100158691406,242.64999389648438,240.6772003173828,241.3300018310547,1041431
2025-05-23 15:30:00+00:00,241.3350067138672,243.41000366210938,239.50999450683594,240.1199951171875,1082334
2025-05-23 16:30:00+00:00,240.1199951171875,242.0,239.2050018310547,241.2097930908203,1035128
2025-05-23 17:30:00+00:00,240.9810028076172,241.08770751953125,238.5,238.9949951171875,579150
2025-05-23 18:30:00+00:00,239.08999633789062,240.41000366210938,238.8699951171875,239.48500061035156,660947
2025-05-23 19:30:00+00:00,239.49000549316406,240.38999938964844,238.0,238.00999450683594,1036839
2025-05-27 13:30:00+00:00,241.66070556640625,242.21499633789062,238.25,241.38999938964844,951085
2025-05-27 14:30:00+00:00,241.2899932861328,241.97999572753906,240.3800048828125,240.5500030517578,645198
2025-05-27 15:30:00+00:00,240.47999572753906,241.49000549316406,239.16000366210938,240.89999389648438,452794
