symbol,strategy,holding_hours,total_trades,wins,win_rate,is_significant,p_value,ci_lower,ci_upper
ETH,momentum,24,243,131,0.5390946502057613,False,0.12407987411003973,0.4762982943477079,0.6006741446577109
ETH,momentum,48,242,132,0.5454545454545454,False,0.08845794600529011,0.48249637285610747,0.6069921433266704
ETH,momentum,72,241,122,0.5062240663900415,False,0.4487629958476216,0.443501033597758,0.5687517861845011
ETH,momentum,168,239,118,0.49372384937238495,False,0.6020488049507944,0.4309404808663709,0.5567057873183225
ETH,momentum_strong,24,103,57,0.5533980582524272,False,0.1622393901440328,0.45719037245005417,0.645765779460812
ETH,momentum_strong,48,102,56,0.5490196078431373,False,0.18647183404181467,0.4524253919116267,0.6420554171464375
ETH,momentum_strong,72,101,51,0.504950495049505,False,0.49999999999999956,0.40906319132283897,0.6004750072548249
ETH,momentum_strong,168,100,53,0.53,False,0.3086497067946262,0.4328868313724773,0.6248934801789626
ETH,mean_reversion,24,166,76,0.4578313253012048,False,0.8778750364396639,0.3838493557715593,0.5337208979236483
ETH,mean_reversion,48,165,76,0.46060606060606063,False,0.8621429713850884,0.38631151790521195,0.5366932392162558
ETH,mean_reversion,72,164,76,0.4634146341463415,False,0.8449807185982797,0.38880582103905165,0.5396981970351327
ETH,mean_reversion,168,162,83,0.5123456790123457,False,0.40687670608895216,0.4359832960718685,0.5881361046092636
ETH,mean_reversion_aggressive,24,243,112,0.4609053497942387,False,0.9003035865363096,0.39932585534228904,0.523701705652292
ETH,mean_reversion_aggressive,48,242,110,0.45454545454545453,False,0.9304431129020185,0.3930078566733296,0.5175036271438926
ETH,mean_reversion_aggressive,72,241,119,0.49377593360995853,False,0.6016340574170125,0.4312482138154988,0.556498966402242
ETH,mean_reversion_aggressive,168,239,121,0.5062761506276151,False,0.4485503941706408,0.4432942126816776,0.5690595191336292
ETH,ghost_inverse,24,107,46,0.42990654205607476,False,0.9392437890618779,0.34013913708365806,0.5245326107077849
ETH,ghost_inverse,48,106,47,0.44339622641509435,False,0.8967508963201452,0.3524492353273998,0.5383025381354777
ETH,ghost_inverse,72,105,51,0.4857142857142857,False,0.6517661685041618,0.39232024499960055,0.5801167643791664
ETH,ghost_inverse,168,104,51,0.49038461538461536,False,0.6156040949306639,0.39637419660186013,0.5850800844918921
ETH,ghost_inverse_strong,24,80,40,0.5,False,0.5444639393869537,0.392972274311075,0.607027725688925
ETH,ghost_inverse_strong,48,79,45,0.569620253164557,False,0.13021276294862175,0.4597200056030372,0.6730635234451705
ETH,ghost_inverse_strong,72,78,48,0.6153846153846154,True,0.026772196084251132,0.5044258131764942,0.7155112359525552
ETH,ghost_inverse_strong,168,78,38,0.48717948717948717,False,0.6328289834850767,0.37948764475056745,0.5960749053462049
ETH,rsi,24,95,48,0.5052631578947369,False,0.5000000000000001,0.4064912522418622,0.6036259453753354
ETH,rsi,48,94,42,0.44680851063829785,False,0.8717788255335154,0.35036203477936345,0.5474319506010882
ETH,rsi,72,94,36,0.3829787234042553,False,0.9913952022070348,0.2911404875065257,0.48400628033046794
ETH,rsi,168,92,42,0.45652173913043476,False,0.825929354840397,0.35852497382933834,0.5580039655873659
ETH,always_up,24,357,181,0.5070028011204482,False,0.4161880796040599,0.4553429869792971,0.5585135085023769
ETH,always_up,48,356,184,0.5168539325842697,False,0.27997755415234826,0.4650411457239424,0.5683068607322318
ETH,always_up,72,355,187,0.5267605633802817,False,0.16970785322189674,0.4748135952465487,0.5781345579218689
ETH,always_up,168,351,175,0.4985754985754986,False,0.5424971966348113,0.4465665220500268,0.5506153190869765
ETH,always_down,24,357,176,0.49299719887955185,False,0.6245628442515301,0.4414864914976232,0.544657013020703
ETH,always_down,48,356,172,0.48314606741573035,False,0.7545610677961927,0.4316931392677683,0.5349588542760577
ETH,always_down,72,355,168,0.4732394366197183,False,0.8557732899208101,0.42186544207813126,0.5251864047534514
ETH,always_down,168,351,176,0.5014245014245015,False,0.49999999999999933,0.44938468091302364,0.5534334779499733
ETH,random,24,357,173,0.484593837535014,False,0.7372917568219219,0.43319182279212476,0.5363238871481927
ETH,random,48,356,177,0.49719101123595505,False,0.5631510878529105,0.4455599040476135,0.5488820948763576
ETH,random,72,355,183,0.5154929577464789,False,0.2978289767324939,0.46361783627879577,0.5670363576608143
ETH,random,168,351,199,0.5669515669515669,True,0.0069808620323550605,0.5146655423922118,0.6177879241686423
XRP,momentum,24,245,110,0.4489795918367347,False,0.9517510819872047,0.3879617604468501,0.5115727225334876
XRP,momentum,48,244,117,0.47950819672131145,False,0.759308575227245,0.4176273692117933,0.5420242792604567
XRP,momentum,72,243,110,0.45267489711934156,False,0.9382593402697025,0.39131117094121515,0.5155116660522251
XRP,momentum,168,239,104,0.4351464435146444,False,0.9808808476091393,0.37380766876910937,0.4985371024727207
XRP,momentum_strong,24,120,54,0.45,False,0.8823983160137373,0.3639158452162006,0.5391861818893925
XRP,momentum_strong,48,119,51,0.42857142857142855,False,0.9507381862988713,0.3432630208001519,0.5183473782828948
XRP,momentum_strong,72,118,55,0.4661016949152542,False,0.7962572327555497,0.37858563103599213,0.555755349384488
