symbol,strategy,holding_hours,total_trades,wins,win_rate,is_significant,p_value,ci_lower,ci_upper
ETH,momentum,24,243,131,0.5390946502057613,False,0.12407987411003973,0.4762982943477079,0.6006741446577109
ETH,momentum,48,242,132,0.5454545454545454,False,0.08845794600529011,0.48249637285610747,0.6069921433266704
ETH,momentum,72,241,122,0.5062240663900415,False,0.4487629958476216,0.443501033597758,0.5687517861845011
ETH,momentum,168,239,118,0.49372384937238495,False,0.6020488049507944,0.4309404808663709,0.5567057873183225
ETH,mean_reversion,24,166,76,0.4578313253012048,False,0.8778750364396639,0.3838493557715593,0.5337208979236483
ETH,mean_reversion,48,165,76,0.46060606060606063,False,0.8621429713850884,0.38631151790521195,0.5366932392162558
ETH,mean_reversion,72,164,76,0.4634146341463415,False,0.8449807185982797,0.38880582103905165,0.5396981970351327
ETH,mean_reversion,168,162,83,0.5123456790123457,False,0.40687670608895216,0.4359832960718685,0.5881361046092636
ETH,ghost_inverse,24,107,46,0.42990654205607476,False,0.9392437890618779,0.34013913708365806,0.5245326107077849
ETH,ghost_inverse,48,106,47,0.44339622641509435,False,0.8967508963201452,0.3524492353273998,0.5383025381354777
ETH,ghost_inverse,72,105,51,0.4857142857142857,False,0.6517661685041618,0.39232024499960055,0.5801167643791664
ETH,ghost_inverse,168,104,51,0.49038461538461536,False,0.6156040949306639,0.39637419660186013,0.5850800844918921
ETH,rsi,24,95,48,0.5052631578947369,False,0.5000000000000001,0.4064912522418622,0.6036259453753354
ETH,rsi,48,94,42,0.44680851063829785,False,0.8717788255335154,0.35036203477936345,0.5474319506010882
ETH,rsi,72,94,36,0.3829787234042553,False,0.9913952022070348,0.2911404875065257,0.48400628033046794
ETH,rsi,168,92,42,0.45652173913043476,False,0.825929354840397,0.35852497382933834,0.5580039655873659
XRP,momentum,24,245,110,0.4489795918367347,False,0.9517510819872047,0.3879617604468501,0.5115727225334876
XRP,momentum,48,244,117,0.47950819672131145,False,0.759308575227245,0.4176273692117933,0.5420242792604567
XRP,momentum,72,243,110,0.45267489711934156,False,0.9382593402697025,0.39131117094121515,0.5155116660522251
XRP,momentum,168,239,104,0.4351464435146444,False,0.9808808476091393,0.37380766876910937,0.4985371024727207
XRP,mean_reversion,24,170,92,0.5411764705882353,False,0.15937064205262694,0.46618597862233596,0.6143471043681565
XRP,mean_reversion,48,169,93,0.5502958579881657,False,0.10914681099252524,0.4750054909005269,0.6233504604445198
XRP,mean_reversion,72,168,91,0.5416666666666666,False,0.15793745580649485,0.4662306656259674,0.6152397117448205
XRP,mean_reversion,168,165,90,0.5454545454545454,False,0.1378570286149116,0.4693055432797876,0.6195351215800574
XRP,ghost_inverse,24,132,67,0.5075757575757576,False,0.4653422327627885,0.42328760705491464,0.5914354232980846
XRP,ghost_inverse,48,131,64,0.48854961832061067,False,0.636561948516772,0.4045028423085701,0.5732488307656145
XRP,ghost_inverse,72,130,68,0.5230769230769231,False,0.3305848415694082,0.4377930468307173,0.6070360645965222
XRP,ghost_inverse,168,128,66,0.515625,False,0.39550372470143896,0.42986091219393446,0.6004785254342495
XRP,rsi,24,94,48,0.5106382978723404,False,0.45896153365787173,0.41116709806344404,0.6092741048604655
XRP,rsi,48,93,43,0.46236559139784944,False,0.7965378159769329,0.36454451284102324,0.5631725013347029
XRP,rsi,72,93,40,0.43010752688172044,False,0.9269114856764237,0.33423358533237524,0.5315265838511162
XRP,rsi,168,90,51,0.5666666666666667,False,0.12305322485813919,0.4636391101764269,0.664235947367349
LINK,momentum,24,270,132,0.4888888888888889,False,0.664908951679117,0.4298380952158923,0.5482514280705624
LINK,momentum,48,269,127,0.4721189591078067,False,0.8353490855184402,0.4132730213460174,0.5317500249929572
LINK,momentum,72,268,120,0.44776119402985076,False,0.9618556001035459,0.3893815659893862,0.5076172745118469
LINK,momentum,168,266,122,0.45864661654135336,False,0.9208270388810487,0.39977842021789106,0.5186922677709143
LINK,mean_reversion,24,194,103,0.5309278350515464,False,0.2148737475072392,0.4607846741177426,0.5998699101557368
LINK,mean_reversion,48,194,103,0.5309278350515464,False,0.2148737475072392,0.4607846741177426,0.5998699101557368
LINK,mean_reversion,72,193,107,0.5544041450777202,False,0.07489169777802879,0.48389878685730914,0.6227859789645497
LINK,mean_reversion,168,191,101,0.5287958115183246,False,0.23471039123737247,0.45813450915591536,0.5983216069917655
LINK,ghost_inverse,24,134,69,0.5149253731343284,False,0.3978143574851943,0.4310745095399619,0.597944306260203
LINK,ghost_inverse,48,133,72,0.5413533834586466,False,0.1929793771705393,0.4566959107530906,0.6236890014373544
LINK,ghost_inverse,72,132,70,0.5303030303030303,False,0.2712537089597001,0.44551296355872966,0.6133791578532679
LINK,ghost_inverse,168,130,62,0.47692307692307695,False,0.7302902238591398,0.3929639354034779,0.5622069531692827
LINK,rsi,24,106,47,0.44339622641509435,False,0.8967508963201452,0.3524492353273998,0.5383025381354777
LINK,rsi,48,105,50,0.47619047619047616,False,0.7208028544172045,0.38319838627334735,0.5708632960245974
LINK,rsi,72,104,54,0.5192307692307693,False,0.3843959050693361,0.4242432827339784,0.612848155078517
LINK,rsi,168,102,53,0.5196078431372549,False,0.38330213062592594,0.42370956161784173,0.6140827620053841
