symbol,strategy,holding_hours,total_trades,wins,win_rate,is_significant,p_value,ci_lower,ci_upper
PANW,momentum,24,162,83,0.5123456790123457,False,0.40687670608895216,0.4359832960718685,0.5881361046092636
PANW,momentum,48,162,86,0.5308641975308642,False,0.23980758440412672,0.4541919404938485,0.6061065612089812
PANW,momentum,72,161,78,0.484472049689441,False,0.6817771111441611,0.40854034129884015,0.5611275095349301
PANW,momentum,168,159,76,0.4779874213836478,False,0.7370377468372482,0.4017825757326531,0.5552308655501642
PANW,mean_reversion,24,129,63,0.4883720930232558,False,0.6375728165141207,0.4037032622727371,0.5737134505642055
PANW,mean_reversion,48,129,58,0.4496124031007752,False,0.8912193730802693,0.3664624265425491,0.5356766624175358
PANW,mean_reversion,72,128,64,0.5,False,0.5351930460850072,0.41465072364379996,0.5853492763562
PANW,mean_reversion,168,126,69,0.5476190476190477,False,0.16356148360838926,0.46058539099321294,0.6318349118989266
PANW,ghost_inverse,24,67,39,0.582089552238806,False,0.11077436482240552,0.46269715977486015,0.6925788362500744
PANW,ghost_inverse,48,67,35,0.5223880597014925,False,0.40359734568351235,0.40484988526831645,0.6374981136475746
PANW,ghost_inverse,72,66,39,0.5909090909090909,False,0.08764289722151766,0.4704897153828895,0.7013276542077269
PANW,ghost_inverse,168,65,42,0.6461538461538462,True,0.012405987285776077,0.5247488020503202,0.7512471073997797
PANW,rsi,24,66,28,0.42424242424242425,False,0.9123571027784824,0.31242322955377905,0.5443956291207072
PANW,rsi,48,66,26,0.3939393939393939,False,0.9679912479313871,0.2850282099029192,0.5145181922413615
PANW,rsi,72,66,30,0.45454545454545453,False,0.8054737697261036,0.340239312591756,0.5738520026129358
PANW,rsi,168,66,35,0.5303030303030303,False,0.35611544131867545,0.41157476624932443,0.645697690280881
NET,momentum,24,171,78,0.45614035087719296,False,0.8894943756801462,0.3832688490710242,0.5309392112532921
NET,momentum,48,170,89,0.5235294117647059,False,0.2957422944449869,0.44876252971873043,0.5972563748472653
NET,momentum,72,169,85,0.5029585798816568,False,0.5000000000000006,0.428351944313058,0.5774336998837094
NET,momentum,168,168,86,0.5119047619047619,False,0.4085232444903905,0.43690061343139175,0.5863766372459762
NET,mean_reversion,24,146,81,0.5547945205479452,False,0.10715745868885618,0.4738005631604948,0.6329788625797536
NET,mean_reversion,48,145,69,0.47586206896551725,False,0.746701790714557,0.39624887140024906,0.556721265980698
