symbol,strategy,holding_hours,total_trades,wins,win_rate,is_significant,p_value,ci_lower,ci_upper
PANW,momentum,24,162,83,0.5123456790123457,False,0.40687670608895216,0.4359832960718685,0.5881361046092636
PANW,momentum,48,162,86,0.5308641975308642,False,0.23980758440412672,0.4541919404938485,0.6061065612089812
PANW,momentum,72,161,78,0.484472049689441,False,0.6817771111441611,0.40854034129884015,0.5611275095349301
PANW,momentum,168,159,76,0.4779874213836478,False,0.7370377468372482,0.4017825757326531,0.5552308655501642
PANW,momentum_strong,24,88,44,0.5,False,0.5424067475785614,0.3977398665504473,0.6022601334495528
PANW,momentum_strong,48,88,48,0.5454545454545454,False,0.22787063971895632,0.44169880685506685,0.6454076895474348
PANW,momentum_strong,72,88,44,0.5,False,0.5424067475785614,0.3977398665504473,0.6022601334495528
PANW,momentum_strong,168,87,40,0.45977011494252873,False,0.8044045173496233,0.3589691971689781,0.5639735955603442
PANW,mean_reversion,24,129,63,0.4883720930232558,False,0.6375728165141207,0.4037032622727371,0.5737134505642055
PANW,mean_reversion,48,129,58,0.4496124031007752,False,0.8912193730802693,0.3664624265425491,0.5356766624175358
PANW,mean_reversion,72,128,64,0.5,False,0.5351930460850072,0.41465072364379996,0.5853492763562
PANW,mean_reversion,168,126,69,0.5476190476190477,False,0.16356148360838926,0.46058539099321294,0.6318349118989266
PANW,mean_reversion_aggressive,24,162,79,0.4876543209876543,False,0.6527163162835142,0.41186389539073653,0.5640167039281317
PANW,mean_reversion_aggressive,48,162,76,0.4691358024691358,False,0.8062404575754735,0.3938934387910188,0.5458080595061515
PANW,mean_reversion_aggressive,72,161,83,0.515527950310559,False,0.37634447857713305,0.43887249046507,0.5914596587011599
PANW,mean_reversion_aggressive,168,159,83,0.5220125786163522,False,0.3171669531419585,0.444769134449836,0.5982174242673471
PANW,ghost_inverse,24,67,39,0.582089552238806,False,0.11077436482240552,0.46269715977486015,0.6925788362500744
PANW,ghost_inverse,48,67,35,0.5223880597014925,False,0.40359734568351235,0.40484988526831645,0.6374981136475746
PANW,ghost_inverse,72,66,39,0.5909090909090909,False,0.08764289722151766,0.4704897153828895,0.7013276542077269
PANW,ghost_inverse,168,65,42,0.6461538461538462,True,0.012405987285776077,0.5247488020503202,0.7512471073997797
PANW,ghost_inverse_strong,24,53,31,0.5849056603773585,False,0.13583958303275168,0.45094182384453757,0.7073929169087134
