symbol,strategy,holding_hours,total_trades,wins,losses,flats_skipped,win_rate,avg_win_pct,avg_loss_pct,is_significant,p_value,ci_lower,ci_upper
BTC,momentum,24,174,90,84,183,0.5172413793103449,0.016324854136227772,0.015645091783960056,False,0.35238401155975785,0.44342489256318707,0.5903129955349858
BTC,momentum,48,174,91,83,182,0.5229885057471264,0.022951550385145198,0.021336138995302623,False,0.29788822870367876,0.44908114798770926,0.5959027028098545
BTC,momentum,72,173,85,88,182,0.4913294797687861,0.02785478432353495,0.02794804245577336,False,0.6194285145491665,0.4178343801711027,0.5652012856450854
BTC,momentum,168,171,86,85,180,0.5029239766081871,0.03410877053319318,0.04551600474680125,False,0.5000000000000003,0.4287463843461108,0.5769730782989346
BTC,momentum_strong,24,35,15,20,322,0.42857142857142855,0.017920866436086366,0.02141084411061151,False,0.8447476704604924,0.27984333081678914,0.5914287074102662
BTC,momentum_strong,48,35,20,15,321,0.5714285714285714,0.02612554642742266,0.030567467019290747,False,0.2497799166012556,0.4085712925897337,0.7201566691832108
BTC,momentum_strong,72,34,17,17,321,0.5,0.03283715616102,0.038801468139773136,False,0.5679168797796592,0.34069062628048985,0.6593093737195102
BTC,momentum_strong,168,34,17,17,317,0.5,0.0430031067677404,0.056190486981535524,False,0.5679168797796592,0.34069062628048985,0.6593093737195102
BTC,mean_reversion,24,84,42,42,273,0.5,0.018887758651240465,0.016597427276113602,False,0.5433988188877015,0.39543750035009767,0.6045624996499024
BTC,mean_reversion,48,84,41,43,272,0.4880952380952381,0.024848082060255912,0.02547450230202376,False,0.6281779069473978,0.3840817181332218,0.5931500262794481
BTC,mean_reversion,72,83,41,42,272,0.4939759036144578,0.031447831632439374,0.03199682292792151,False,0.5867976377754036,0.38908687956649984,0.5993979019207136
BTC,mean_reversion,168,82,39,43,269,0.47560975609756095,0.04632243502349239,0.04033981121547699,False,0.7094427729116766,0.37104798284402096,0.5823545632408609
BTC,mean_reversion_aggressive,24,174,84,90,183,0.4827586206896552,0.015645091783960056,0.016324854136227772,False,0.7021117712963212,0.40968700446501427,0.556575107436813
BTC,mean_reversion_aggressive,48,174,83,91,182,0.47701149425287354,0.021336138995302623,0.022951550385145198,False,0.7524155708557808,0.40409729719014553,0.5509188520122907
BTC,mean_reversion_aggressive,72,173,88,85,182,0.5086705202312138,0.02794804245577336,0.02785478432353495,False,0.439599371952146,0.4347987143549146,0.5821656198288974
BTC,mean_reversion_aggressive,168,171,85,86,180,0.49707602339181284,0.04551600474680125,0.03410877053319318,False,0.5607497646261654,0.4230269217010652,0.5712536156538891
BTC,ghost_inverse,24,83,42,41,274,0.5060240963855421,0.01606509378284244,0.0164214323036372,False,0.49999999999999983,0.4006020980792863,0.6109131204335001
BTC,ghost_inverse,48,83,40,43,273,0.4819277108433735,0.022474165567360174,0.0208691265496966,False,0.6695581761193923,0.3776300414382687,0.5878243030233717
BTC,ghost_inverse,72,82,41,41,273,0.5,0.03145000871860556,0.028899794189862296,False,0.5439216962236986,0.3942264272844117,0.6057735727155883
BTC,ghost_inverse,168,81,41,40,270,0.5061728395061729,0.046792379582719215,0.039700943694421,False,0.49999999999999994,0.3995059708753621,0.6122806998144883
BTC,ghost_inverse_strong,24,43,23,20,314,0.5348837209302325,0.015887901941791436,0.01405396013853189,False,0.38039582128067195,0.3891538972887278,0.6748917373608143
BTC,ghost_inverse_strong,48,42,22,20,314,0.5238095238095238,0.023775902093912817,0.02616305171769079,False,0.4388071643761577,0.3772221394020704,0.6664063552403504
BTC,ghost_inverse_strong,72,41,21,20,314,0.5121951219512195,0.03570656847012479,0.03130917608507593,False,0.5,0.36484259315865186,0.657458127600643
BTC,ghost_inverse_strong,168,41,24,17,310,0.5853658536585366,0.04376049108484331,0.04338125473890971,False,0.17444443972453882,0.433668353568366,0.7224366917466984
BTC,rsi,24,93,40,53,264,0.43010752688172044,0.017761347956020402,0.015082932425545191,False,0.9269114856764237,0.33423358533237524,0.5315265838511162
BTC,rsi,48,92,39,53,264,0.42391304347826086,0.019965270058659293,0.020871101974465022,False,0.9413149205843279,0.3279782090086152,0.5259474349706172
BTC,rsi,72,92,38,54,263,0.41304347826086957,0.026863212621587487,0.025240972128415126,False,0.9621198821179674,0.31788936478397756,0.5151685140494309
BTC,rsi,168,91,41,50,260,0.45054945054945056,0.04441503211393337,0.03797723867329898,False,0.8527651077157331,0.3523959894000537,0.5527089434564145
BTC,bollinger,24,45,19,26,312,0.4222222222222222,0.01730131372212504,0.010733156409009128,False,0.8836534040458446,0.28968487981687807,0.566994672040555
BTC,bollinger,48,45,22,23,311,0.4888888888888889,0.022802682847902243,0.02022564975142408,False,0.6170040878776035,0.3495678935302451,0.6299577567351026
BTC,bollinger,72,45,30,15,310,0.6666666666666666,0.02269627735744201,0.029431017941214773,True,0.017848901777597348,0.520702168092554,0.7864130779272324
BTC,bollinger,168,44,21,23,307,0.4772727272727273,0.03671089852858291,0.033727885151316986,False,0.674206086395543,0.3375475794427176,0.620647798638283
BTC,always_up,24,357,180,177,0,0.5042016806722689,0.014231692708040979,0.015246664167610193,False,0.45785992829254435,0.45256848381584364,0.5557454134731608
BTC,always_up,48,356,175,181,0,0.49157303370786515,0.020933257923734922,0.02162529238915319,False,0.6446529355640895,0.440008355990111,0.5433176407818019
BTC,always_up,72,355,179,176,0,0.504225352112676,0.025392106233255288,0.027761994077963016,False,0.4577418888759965,0.45244810870674773,0.5559121260040549
BTC,always_up,168,351,177,174,0,0.5042735042735043,0.037770541566794644,0.04110634233585742,False,0.4575028033651887,0.45220451061991046,0.5562499659690803
BTC,always_down,24,357,177,180,0,0.4957983193277311,0.015246664167610193,0.014231692708040979,False,0.5838119203959401,0.44425458652683925,0.5474315161841564
BTC,always_down,48,356,181,175,0,0.5084269662921348,0.02162529238915319,0.020933257923734922,False,0.3955272470610296,0.45668235921819805,0.559991644009889
BTC,always_down,72,355,176,179,0,0.49577464788732395,0.027761994077963016,0.025392106233255288,False,0.5840440645818175,0.444087873995945,0.5475518912932522
BTC,always_down,168,351,174,177,0,0.49572649572649574,0.04110634233585742,0.037770541566794644,False,0.5845141989573656,0.4437500340309198,0.5477954893800896
BTC,random,24,357,188,169,0,0.5266106442577031,0.01523745861203596,0.014175869976636805,False,0.17038634519906984,0.4748094120947881,0.577845270735573
BTC,random,48,356,174,182,0,0.4887640449438202,0.022197458580971184,0.02041285860440303,False,0.6832877265497819,0.43723500250467545,0.5405329931912085
BTC,random,72,355,168,187,0,0.4732394366197183,0.025910485057418824,0.02715687959266216,False,0.8557732899208101,0.42186544207813126,0.5251864047534514
BTC,random,168,351,175,176,0,0.4985754985754986,0.04387185049042086,0.035001793113285176,False,0.5424971966348113,0.4465665220500268,0.5506153190869765
ETH,momentum,24,243,131,112,114,0.5390946502057613,0.029734706249477015,0.024001563042277813,False,0.12407987411003973,0.4762982943477079,0.6006741446577109
ETH,momentum,48,242,132,110,114,0.5454545454545454,0.04144096528751385,0.03677548393341851,False,0.08845794600529011,0.48249637285610747,0.6069921433266704
ETH,momentum,72,241,122,119,114,0.5062240663900415,0.05346408653041033,0.045263212215974936,False,0.4487629958476216,0.443501033597758,0.5687517861845011
ETH,momentum,168,239,118,121,112,0.49372384937238495,0.07634785198682402,0.06887173006812883,False,0.6020488049507944,0.4309404808663709,0.5567057873183225
ETH,momentum_strong,24,103,57,46,254,0.5533980582524272,0.03346342608914667,0.02777756441124141,False,0.1622393901440328,0.45719037245005417,0.645765779460812
ETH,momentum_strong,48,102,56,46,254,0.5490196078431373,0.048881568843651975,0.0351939616557405,False,0.18647183404181467,0.4524253919116267,0.6420554171464375
ETH,momentum_strong,72,101,51,50,254,0.504950495049505,0.06376439939169817,0.04306878960029431,False,0.49999999999999956,0.40906319132283897,0.6004750072548249
ETH,momentum_strong,168,100,53,47,251,0.53,0.09170734337742044,0.06895266617076276,False,0.3086497067946262,0.4328868313724773,0.6248934801789626
